Magic ID,Name,credit,Phenomena Category,Materials,length,subtitle,Brief description,
K1,Deck vanish,unknown,Disappearance,Cards,00:00:18,No,The deck vanishes into a black box ,
K2,Color changing book,unknown,Color Change,Book,00:00:26,No,The sweets from a page in a children's story book are poured out onto the table from it. ,
K3,Ladybag magic(Paddle move),unknown,Color Change,Knife,00:00:25,No,A magician has a leaf on which two ladybirds appear on either side before magically disappearing.,
K4,insta cube,Craig Nichols,Other,Rubix cube,00:00:30,No,The magician magically solves the rubix cube by spinning it in the air,
K5,The Last Trick of Dr. Daley_ver1,Jacob Daley,Exchange,Cards,00:00:35,Yes,"Magician has four aces and places the two red cards on the table but when he reveals the cards, he is actually holding the red cards and the black cards are on the table. ",
K6,Ace assembly,Alex Elmsley,Transportation,Cards,00:00:41,Yes,An ace is placed onto the table and three cards on top - all of which turn out to be aces. ,
K7,Card Warp,Roy Walton,Other,Cards,00:00:33,No,"Magician has a black and a red card. He folds the red card in half and then does the same with the black card before slotting the black card in between the folding of the red one. He folds the cards back on themselves and then pulls the card in the middle out revealing that the middle card is now the red one. He folds them back once again, revealing that it is in fact the black card in the middle. ",
K8,Card Change,unknown,Color change,Cards,00:00:08,No,Card changes with a small gesture ,
K9,Four aces location,unknown,Assembly,Cards,00:00:50,No,Magician deals four decks onto the table each starting with an ace. It turns out all the aces end up in one pile and the others are made up of the same cards,
K10,linking pin,Dan Garrett,Penetration,Safety pin,00:00:31,No,Safety pins magically interlock without breaking the seal ,
K11,Stargazer,Alan Wong,Change,Rubber band,00:00:25,No,Magician has two elastic bands. He makes several star shapes using them and then produces a star shaped elastic band,
K12,Card toon,Dan Harlan,Take one,Cards,00:00:33,No,Volunteer chooses 7 of hearts. The magician then shows the audience the flip book story on the cards which shows that a fairy also chooses the 7 of hearts,
K13,Crazy Man's Handcuffs,Michael Ammar ,Penetration,Rubber band,00:00:19,No,Magician has two elastic bands and tangles them up. They then become untwisted ,
K14,Quick as a wink,unknown,Take one,Cards,00:00:35,Yes,Volunteer selects 2 of diamonds and places it back in the deck. Then he sandwiches the deck with a Joker on each end. Then he throws the card from one hand to the other and sandwiched between the two Jokers is the volunteer's selected card. ,
K15_Long,Chicago Opener, Al Leech and Frank Everhart ,Take one/ color change,Cards,00:01:13,Yes,Volunteer selects a card and put it back to a deck then this card becomes a colored card.,
K15_Short,Chicago Opener, Al Leech and Frank Everhart ,Take one/ color change,Cards,00:00:37,No,Volunteer selects a card and put it back to a deck then this card becomes a colored card.,
K16_Long,Ambitious Card, Gustav Alberti,Transportation,Cards,00:01:12,Yes,Volunteer selects and signs a card. Magician put it inside the deck and the signed card appeared on the top repeatedly,
K16_Short,Ambitious Card, Gustav Alberti,Transportation,Cards,00:00:31,No,Volunteer selects and signs a card. Magician put it inside the deck and the signed card appeared on the top repeatedly,
K17,Slop Shuffle,Sid Lorraine,Take one,Cards,00:00:46,No,Volunteer selects a card and the magician shuffled a deck. This card is the only one that has the opposite side.,
K18,3D advertising,Henry Evans,Materialization,Cards,00:00:22,No,Pack of cards comes out of a piece of paper,
K19_Long,Chop Cup,Al Wheatley,Transportation,Cups and balls,00:00:31,No,balls in a cup warps and turns into a toy rabbit.,
K19_Short,Chop Cup,Al Wheatley,Transportation,Cups and balls,00:00:19,No,balls in a cup warps and turns into a toy rabbit.,
K21_Long,Bizarre Twist_ver1,Paul Harris,Color change,Cards,00:00:43,No,A card flips with a short hand gesture,
K21_Short,Bizarre Twist_ver1,Paul Harris,Color change,Cards,00:00:17,No,A card flips with a short hand gesture,
K22_Long,Three-card Monte,Shoji Takahito,Exchange,Cards,00:00:43,No,Volunteer is shown three cards; one red and two black cards. The magician places the cards face down on to the table in the same order that he presented the cards to the volunteer. The magician then asks the volunteer to point to the red card but when the magician turns the card over it is in fact a black card.,
